ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000138207	protein_coding	RBP4	49.28	777	148
ENSG00000138311	protein_coding	ZNF365	40.24	339	258
ENSG00000138326	protein_coding	RPS24	47.43	3289	750
ENSG00000138385	protein_coding	SSB	39.88	317	227
ENSG00000138398	protein_coding	PPIG	37.95	523	352
ENSG00000138430	protein_coding	OLA1	36.47	258	204
ENSG00000138443	protein_coding	ABI2	39.5	258	198
ENSG00000138468	protein_coding	SENP7	37.56	86	76
ENSG00000138495	protein_coding	COX17	41.28	1817	606
ENSG00000138593	protein_coding	SECISBP2L	36.73	241	139
ENSG00000138641	protein_coding	HERC3	39.04	249	187
ENSG00000138650	protein_coding	PCDH10	33.93	232	168
ENSG00000138663	protein_coding	COPS4	40.06	339	258
ENSG00000138668	protein_coding	HNRNPD	38.75	184	157
ENSG00000138688	protein_coding	KIAA1109	34.76	204	172
ENSG00000138698	protein_coding	RAP1GDS1	36.01	580	338
ENSG00000138757	protein_coding	G3BP2	41.77	771	428
ENSG00000138758	protein_coding	SEPTIN11	40.66	201	163
ENSG00000138760	protein_coding	SCARB2	41.79	204	161
ENSG00000138764	protein_coding	CCNG2	43.18	143	118
ENSG00000138767	protein_coding	CNOT6L	36.25	81	71
ENSG00000138768	protein_coding	USO1	37.52	209	174
ENSG00000138777	protein_coding	PPA2	36.65	249	207
ENSG00000138814	protein_coding	PPP3CA	35.79	1363	581
ENSG00000138834	protein_coding	MAPK8IP3	56.84	474	326
ENSG00000139112	protein_coding	GABARAPL1	44.11	2024	614
ENSG00000139116	protein_coding	KIF21A	36.22	742	390
ENSG00000139163	protein_coding	ETNK1	34.4	752	438
ENSG00000139168	protein_coding	ZCRB1	37.3	1199	556
ENSG00000139180	protein_coding	NDUFA9	39.57	281	210
ENSG00000139182	protein_coding	CLSTN3	51.75	1247	515
ENSG00000139200	protein_coding	PIANP	58.42	496	350
ENSG00000139218	protein_coding	SCAF11	36.52	205	170
ENSG00000139289	protein_coding	PHLDA1	45.13	135	96
ENSG00000139343	protein_coding	SNRPF	39.09	605	375
ENSG00000139364	protein_coding	TMEM132B	43.9	425	251
ENSG00000139405	protein_coding	RITA1	51.56	36	34
ENSG00000139433	protein_coding	GLTP	49.11	441	157
ENSG00000139579	protein_coding	NABP2	51.22	340	254
ENSG00000139613	protein_coding	SMARCC2	48.97	298	242
ENSG00000139625	protein_coding	MAP3K12	52.61	194	167
ENSG00000139644	protein_coding	TMBIM6	43.42	1325	623
ENSG00000139697	protein_coding	SBNO1	43.26	324	264
ENSG00000139726	protein_coding	DENR	42.06	737	422
ENSG00000139737	protein_coding	SLAIN1	36.87	221	123
ENSG00000139793	protein_coding	MBNL2	40.24	642	398
ENSG00000139874	protein_coding	SSTR1	54.26	109	73
ENSG00000139921	protein_coding	TMX1	36.89	276	223
ENSG00000139970	protein_coding	RTN1	39.18	5452	687
ENSG00000140006	protein_coding	WDR89	41.2	478	325
ENSG00000140199	protein_coding	SLC12A6	39.55	213	161
ENSG00000140263	protein_coding	SORD	45.25	55	37
ENSG00000140264	protein_coding	SERF2	49.15	757	436
ENSG00000140280	protein_coding	LYSMD2	41.49	482	336
ENSG00000140307	protein_coding	GTF2A2	39.73	420	284
ENSG00000140319	protein_coding	SRP14	43.3	1774	645
ENSG00000140323	protein_coding	DISP2	53.06	831	405
ENSG00000140365	protein_coding	COMMD4	53.23	428	310
ENSG00000140367	protein_coding	UBE2Q2	38.56	162	132
ENSG00000140382	protein_coding	HMG20A	38.22	134	98
ENSG00000140386	protein_coding	SCAPER	37.7	117	88
ENSG00000140391	protein_coding	TSPAN3	41.92	1812	667
ENSG00000140395	protein_coding	WDR61	43.3	216	177
ENSG00000140396	protein_coding	NCOA2	38.24	157	122
ENSG00000140463	protein_coding	BBS4	40.76	214	138
ENSG00000140538	protein_coding	NTRK3	45.3	122	76
ENSG00000140577	protein_coding	CRTC3	44.02	91	83
ENSG00000140600	protein_coding	SH3GL3	40.8	318	203
ENSG00000140612	protein_coding	SEC11A	42.34	129	112
ENSG00000140632	protein_coding	GLYR1	47.61	442	327
ENSG00000140718	protein_coding	FTO	40.2	395	293
ENSG00000140740	protein_coding	UQCRC2	40.09	466	310
ENSG00000140905	protein_coding	GCSH	43.92	192	148
ENSG00000140941	protein_coding	MAP1LC3B	47.5	1639	650
ENSG00000140945	protein_coding	CDH13	42.22	345	124
ENSG00000140948	protein_coding	ZCCHC14	48.41	178	144
ENSG00000140988	protein_coding	RPS2	57.61	3434	780
ENSG00000140990	protein_coding	NDUFB10	58.74	1717	617
ENSG00000140992	protein_coding	PDPK1	52.5	221	173
ENSG00000141002	protein_coding	TCF25	55.04	2053	659
ENSG00000141027	protein_coding	NCOR1	39.72	599	405
ENSG00000141279	protein_coding	NPEPPS	41.25	487	332
ENSG00000141349	protein_coding	G6PC3	53.16	219	180
ENSG00000141367	protein_coding	CLTC	38.54	511	319
ENSG00000141404	protein_coding	GNAL	44.12	352	231
ENSG00000141447	protein_coding	OSBPL1A	40.87	423	267
ENSG00000141458	protein_coding	NPC1	44.65	164	118
ENSG00000141522	protein_coding	ARHGDIA	68.15	562	375
ENSG00000141540	protein_coding	TTYH2	54.45	139	76
ENSG00000141552	protein_coding	ANAPC11	55.3	1101	533
ENSG00000141576	protein_coding	RNF157	45.04	276	210
ENSG00000141622	protein_coding	RNF165	49.03	228	187
ENSG00000141741	protein_coding	MIEN1	55.28	1161	552
ENSG00000141753	protein_coding	IGFBP4	53.02	217	90
ENSG00000141759	protein_coding	TXNL4A	45.6	444	311
ENSG00000141837	protein_coding	CACNA1A	47.43	217	188
ENSG00000141905	protein_coding	NFIC	55.09	182	156
ENSG00000141933	protein_coding	TPGS1	61.72	353	276
ENSG00000141959	protein_coding	PFKL	63.48	140	118
ENSG00000142046	protein_coding	TMEM91	52.68	270	146
ENSG00000142082	protein_coding	SIRT3	48.53	530	334
ENSG00000142168	protein_coding	SOD1	44.51	794	424
ENSG00000142192	protein_coding	APP	39.73	1834	658
ENSG00000142208	protein_coding	AKT1	64.08	168	140
ENSG00000142230	protein_coding	SAE1	47.18	302	233
ENSG00000142252	protein_coding	GEMIN7	50.44	489	349
ENSG00000142507	protein_coding	PSMB6	52.73	1114	556
ENSG00000142534	protein_coding	RPS11	53.08	3834	773
ENSG00000142541	protein_coding	RPL13A	53.4	7157	846
ENSG00000142599	protein_coding	RERE	42.21	280	228
ENSG00000142634	protein_coding	EFHD2	56.77	639	382
ENSG00000142669	protein_coding	SH3BGRL3	61.93	1613	648
ENSG00000142676	protein_coding	RPL11	46.35	3862	790
ENSG00000142686	protein_coding	C1orf216	53.21	173	146
ENSG00000142864	protein_coding	SERBP1	38.87	905	493
ENSG00000142875	protein_coding	PRKACB	34.7	845	425
ENSG00000142892	protein_coding	PIGK	35.84	249	207
ENSG00000142937	protein_coding	RPS8	55.11	4368	791
ENSG00000142949	protein_coding	PTPRF	55.69	142	99
ENSG00000143013	protein_coding	LMO4	41.87	487	219
ENSG00000143106	protein_coding	PSMA5	40.76	468	322
ENSG00000143126	protein_coding	CELSR2	60.19	369	272
ENSG00000143153	protein_coding	ATP1B1	43.48	7652	708
ENSG00000143155	protein_coding	TIPRL	38.53	297	244
ENSG00000143158	protein_coding	MPC2	37.94	1157	541
ENSG00000143183	protein_coding	TMCO1	39.88	288	230
ENSG00000143195	protein_coding	ILDR2	42.39	204	121
ENSG00000143198	protein_coding	MGST3	43.33	629	354
ENSG00000143222	protein_coding	UFC1	46.11	517	341
ENSG00000143226	protein_coding	FCGR2A	43.82	135	60
ENSG00000143252	protein_coding	SDHC	42.28	359	267
ENSG00000143256	protein_coding	PFDN2	44.06	2262	677
ENSG00000143314	protein_coding	MRPL24	48.93	320	248
ENSG00000143321	protein_coding	HDGF	51.35	752	438
ENSG00000143324	protein_coding	XPR1	36.94	167	145
ENSG00000143376	protein_coding	SNX27	40.43	309	224
ENSG00000143418	protein_coding	CERS2	52.38	340	160
ENSG00000143420	protein_coding	ENSA	45.32	915	477
ENSG00000143499	protein_coding	SMYD2	43.58	321	246
ENSG00000143502	protein_coding	SUSD4	44.23	313	243
ENSG00000143543	protein_coding	JTB	50.82	576	393
ENSG00000143549	protein_coding	TPM3	45.14	438	331
ENSG00000143553	protein_coding	SNAPIN	50.6	301	227
ENSG00000143575	protein_coding	HAX1	49.78	217	180
ENSG00000143612	protein_coding	C1orf43	45.86	223	181
ENSG00000143614	protein_coding	GATAD2B	45.03	269	217
ENSG00000143621	protein_coding	ILF2	44.32	283	220
ENSG00000143632	protein_coding	ACTA1	62.54	109	97
ENSG00000143653	protein_coding	SCCPDH	41.65	298	195
ENSG00000143727	protein_coding	ACP1	42.67	266	193
ENSG00000143740	protein_coding	SNAP47	53.99	1020	476
ENSG00000143742	protein_coding	SRP9	40.6	780	415
ENSG00000143751	protein_coding	SDE2	40.61	90	59
ENSG00000143753	protein_coding	DEGS1	46.06	322	216
ENSG00000143761	protein_coding	ARF1	52.33	1139	588
ENSG00000143774	protein_coding	GUK1	61.76	1420	579
ENSG00000143776	protein_coding	CDC42BPA	36.66	270	205
ENSG00000143793	protein_coding	C1orf35	60.86	144	126
ENSG00000143862	protein_coding	ARL8A	53.33	536	369
ENSG00000143870	protein_coding	PDIA6	46.27	326	259
ENSG00000143878	protein_coding	RHOB	57.46	610	298
ENSG00000143947	protein_coding	RPS27A	45.81	4624	762
ENSG00000144029	protein_coding	MRPS5	42.15	230	189
ENSG00000144034	protein_coding	TPRKB	40.52	219	178
ENSG00000144036	protein_coding	EXOC6B	37.12	168	145
ENSG00000144224	protein_coding	UBXN4	39.75	334	252
ENSG00000144231	protein_coding	POLR2D	45.36	187	157
ENSG00000144283	protein_coding	PKP4	38.59	341	264
ENSG00000144285	protein_coding	SCN1A	35.32	509	304
ENSG00000144290	protein_coding	SLC4A10	35.91	181	113
ENSG00000144339	protein_coding	TMEFF2	35.9	747	254
ENSG00000144355	protein_coding	DLX1	55.73	251	198
ENSG00000144357	protein_coding	UBR3	36.88	245	187
ENSG00000144362	protein_coding	PHOSPHO2	37.24	105	74
ENSG00000144369	protein_coding	FAM171B	37.12	1011	498
ENSG00000144381	protein_coding	HSPD1	42.79	287	211
ENSG00000144406	protein_coding	UNC80	37.57	379	254
ENSG00000144460	protein_coding	NYAP2	38.06	179	135
ENSG00000144560	protein_coding	VGLL4	44.93	263	198
ENSG00000144583	protein_coding	MARCH4	44.52	157	126
ENSG00000144591	protein_coding	GMPPA	54.38	25	22
ENSG00000144635	protein_coding	DYNC1LI1	39.15	184	151
ENSG00000144642	protein_coding	RBMS3	36.91	262	182
ENSG00000144659	protein_coding	SLC25A38	46.4	150	112
ENSG00000144674	protein_coding	GOLGA4	37.82	240	178
ENSG00000144711	protein_coding	IQSEC1	53.38	322	214
ENSG00000144746	protein_coding	ARL6IP5	42.48	1262	562
ENSG00000144747	protein_coding	TMF1	36.6	135	89
ENSG00000144834	protein_coding	TAGLN3	45.69	772	416
ENSG00000144843	protein_coding	ADPRH	46.24	173	146
ENSG00000144848	protein_coding	ATG3	36.32	199	171
ENSG00000144895	protein_coding	EIF2A	37.63	175	150
ENSG00000144935	protein_coding	TRPC1	35.59	286	215
ENSG00000144959	protein_coding	NCEH1	41.72	267	194
ENSG00000145022	protein_coding	TCTA	53.23	187	139
ENSG00000145029	protein_coding	NICN1	52.25	344	257
ENSG00000145050	protein_coding	MANF	50.89	676	429
ENSG00000145194	protein_coding	ECE2	52.92	160	128
ENSG00000145198	protein_coding	VWA5B2	58.09	80	53
ENSG00000145242	protein_coding	EPHA5	33.39	959	369
ENSG00000145247	protein_coding	OCIAD2	41.87	364	262
ENSG00000145293	protein_coding	ENOPH1	43.12	148	118
ENSG00000145335	protein_coding	SNCA	36.12	1504	513
ENSG00000145337	protein_coding	PYURF	44.22	98	85
ENSG00000145349	protein_coding	CAMK2D	35.99	277	196
ENSG00000145354	protein_coding	CISD2	38.96	407	301
ENSG00000145391	protein_coding	SETD7	42.84	269	185
ENSG00000145495	protein_coding	MARCH6	39.32	279	201
ENSG00000145592	protein_coding	RPL37	42.62	6123	809
ENSG00000145632	protein_coding	PLK2	41.73	417	285
ENSG00000145675	protein_coding	PIK3R1	39.2	233	190
ENSG00000145681	protein_coding	HAPLN1	36.15	620	294
ENSG00000145687	protein_coding	SSBP2	35.97	414	285
ENSG00000145708	protein_coding	CRHBP	42.28	605	116
ENSG00000145730	protein_coding	PAM	35.92	387	246
ENSG00000145741	protein_coding	BTF3	38.63	688	400
ENSG00000145824	protein_coding	CXCL14	52.05	102	53
ENSG00000145907	protein_coding	G3BP1	39.44	320	262
ENSG00000145912	protein_coding	NHP2	52.15	405	294
ENSG00000145920	protein_coding	CPLX2	50.92	834	301
ENSG00000145934	protein_coding	TENM2	40.39	390	176
ENSG00000146007	protein_coding	ZMAT2	43.69	789	448
ENSG00000146066	protein_coding	HIGD2A	57.47	1185	570
ENSG00000146072	protein_coding	TNFRSF21	41.38	110	82
ENSG00000146223	protein_coding	RPL7L1	46.45	259	218
ENSG00000146247	protein_coding	PHIP	34.28	318	246
ENSG00000146278	protein_coding	PNRC1	48.53	263	209
ENSG00000146416	protein_coding	AIG1	39.66	403	306
ENSG00000146535	protein_coding	GNA12	45.86	190	110
ENSG00000146676	protein_coding	PURB	41.41	1013	483
ENSG00000146701	protein_coding	MDH2	50.93	1129	489
ENSG00000146950	protein_coding	SHROOM2	47.43	180	143
ENSG00000146963	protein_coding	LUC7L2	40.36	857	474
ENSG00000147123	protein_coding	NDUFB11	52.3	1581	632
ENSG00000147130	protein_coding	ZMYM3	53.76	199	166
ENSG00000147133	protein_coding	TAF1	43.38	163	146
ENSG00000147162	protein_coding	OGT	40.58	746	426
ENSG00000147224	protein_coding	PRPS1	41.83	211	172
ENSG00000147364	protein_coding	FBXO25	41.96	169	113
ENSG00000147403	protein_coding	RPL10	54.28	3447	759
ENSG00000147416	protein_coding	ATP6V1B2	39.5	1509	608
ENSG00000147457	protein_coding	CHMP7	46.73	271	208
ENSG00000147533	protein_coding	GOLGA7	39.89	584	370
ENSG00000147604	protein_coding	RPL7	50.65	1776	659
ENSG00000147650	protein_coding	LRP12	35.69	189	147
ENSG00000147677	protein_coding	EIF3H	37.79	995	507
ENSG00000147684	protein_coding	NDUFB9	45.43	2196	687
ENSG00000147852	protein_coding	VLDLR	42.01	288	214
ENSG00000147854	protein_coding	UHRF2	38.99	184	158
ENSG00000147862	protein_coding	NFIB	38.29	1232	463
ENSG00000147905	protein_coding	ZCCHC7	36.62	197	167
ENSG00000148053	protein_coding	NTRK2	40.93	1396	571
ENSG00000148057	protein_coding	IDNK	42.77	381	276
ENSG00000148090	protein_coding	AUH	38.91	432	318
ENSG00000148180	protein_coding	GSN	46.87	514	115
ENSG00000148218	protein_coding	ALAD	51.37	109	95
ENSG00000148290	protein_coding	SURF1	53.97	562	383
ENSG00000148291	protein_coding	SURF2	59.58	190	162
ENSG00000148303	protein_coding	RPL7A	50.45	1123	540
ENSG00000148334	protein_coding	PTGES2	59.55	171	135
ENSG00000148335	protein_coding	NTMT1	55.42	190	145
ENSG00000148341	protein_coding	SH3GLB2	55.75	328	251
ENSG00000148408	protein_coding	CACNA1B	49.94	242	187
ENSG00000148411	protein_coding	NACC2	55.01	210	166
ENSG00000148444	protein_coding	COMMD3	37.41	502	336
ENSG00000148541	protein_coding	FAM13C	40.06	177	141
ENSG00000148660	protein_coding	CAMK2G	51.65	441	297
ENSG00000148672	protein_coding	GLUD1	42.02	228	187
ENSG00000148798	protein_coding	INA	45.93	507	313
ENSG00000148803	protein_coding	FUOM	67.02	383	267
ENSG00000148826	protein_coding	NKX6-2	66.28	255	93
ENSG00000148834	protein_coding	GSTO1	41.43	261	209
ENSG00000148908	protein_coding	RGS10	49.42	1732	515
ENSG00000148948	protein_coding	LRRC4C	36.7	203	145
ENSG00000148950	protein_coding	IMMP1L	34.91	290	227
ENSG00000149084	protein_coding	HSD17B12	38.14	386	296
ENSG00000149100	protein_coding	EIF3M	37.78	410	300
ENSG00000149136	protein_coding	SSRP1	50.56	292	219
ENSG00000149212	protein_coding	SESN3	35.27	250	202
ENSG00000149218	protein_coding	ENDOD1	42.67	341	230
ENSG00000149256	protein_coding	TENM4	44.45	236	192
ENSG00000149269	protein_coding	PAK1	39.88	627	369
ENSG00000149273	protein_coding	RPS3	48.5	3626	779
ENSG00000149294	protein_coding	NCAM1	41.71	843	388
ENSG00000149357	protein_coding	LAMTOR1	47.92	658	417
ENSG00000149541	protein_coding	B3GAT3	53.96	464	315
ENSG00000149547	protein_coding	EI24	43.38	338	264
ENSG00000149557	protein_coding	FEZ1	42.92	1285	486
ENSG00000149575	protein_coding	SCN2B	53.38	498	323
ENSG00000149600	protein_coding	COMMD7	48.22	181	146
ENSG00000149658	protein_coding	YTHDF1	49.23	104	92
ENSG00000149792	protein_coding	MRPL49	50.97	248	207
ENSG00000149798	protein_coding	CDC42EP2	56.09	116	79
ENSG00000149806	protein_coding	FAU	53.42	4325	789
ENSG00000149923	protein_coding	PPP4C	54.46	262	230
ENSG00000149925	protein_coding	ALDOA	59.26	3731	744
ENSG00000149926	protein_coding	TLCD3B	52	224	196
ENSG00000149972	protein_coding	CNTN5	35.04	270	174
ENSG00000150316	protein_coding	CWC15	37.35	583	359
ENSG00000150471	protein_coding	ADGRL3	35.25	323	236
ENSG00000150556	protein_coding	LYPD6B	39.95	184	107
ENSG00000150625	protein_coding	GPM6A	35.77	1894	577
ENSG00000150672	protein_coding	DLG2	37.02	407	275
ENSG00000150753	protein_coding	CCT5	43.6	700	413
ENSG00000150764	protein_coding	DIXDC1	43.29	206	163
ENSG00000150768	protein_coding	DLAT	41.27	239	194
ENSG00000150779	protein_coding	TIMM8B	46.22	2113	642
ENSG00000150787	protein_coding	PTS	41.9	143	108
ENSG00000150991	protein_coding	UBC	50.7	663	408
ENSG00000150995	protein_coding	ITPR1	42.9	271	212
ENSG00000151079	protein_coding	KCNA6	56.62	642	365
ENSG00000151150	protein_coding	ANK3	37.75	1311	602
ENSG00000151229	protein_coding	SLC2A13	37.04	372	269
ENSG00000151247	protein_coding	EIF4E	39.19	389	270
ENSG00000151276	protein_coding	MAGI1	40.3	528	338
ENSG00000151320	protein_coding	AKAP6	37.92	184	151
ENSG00000151322	protein_coding	NPAS3	38.23	174	91
ENSG00000151365	protein_coding	THRSP	48.65	399	260
ENSG00000151366	protein_coding	NDUFC2	44.35	1612	623
ENSG00000151465	protein_coding	CDC123	42.91	435	319
ENSG00000151466	protein_coding	SCLT1	36.17	35	13
ENSG00000151490	protein_coding	PTPRO	37.51	174	122
ENSG00000151500	protein_coding	THYN1	43.95	219	174
ENSG00000151552	protein_coding	QDPR	45.07	1325	291
ENSG00000151690	protein_coding	MFSD6	39.84	224	177
ENSG00000151693	protein_coding	ASAP2	46.56	57	31
ENSG00000151729	protein_coding	SLC25A4	46.85	5562	809
ENSG00000151746	protein_coding	BICD1	40.45	209	174
ENSG00000151778	protein_coding	SERP2	44.49	2545	636
ENSG00000151917	protein_coding	BEND6	38.46	670	369
ENSG00000152061	protein_coding	RABGAP1L	37.91	187	147
ENSG00000152078	protein_coding	TLCD4	38.99	45	38
ENSG00000152092	protein_coding	ASTN1	41.64	346	265
ENSG00000152102	protein_coding	FAM168B	45.79	511	321
ENSG00000152154	protein_coding	TMEM178A	40.56	201	141
ENSG00000152214	protein_coding	RIT2	35.68	262	189
ENSG00000152234	protein_coding	ATP5F1A	44.44	1306	567
ENSG00000152332	protein_coding	UHMK1	38.32	270	199
ENSG00000152377	protein_coding	SPOCK1	42.8	537	323
ENSG00000152382	protein_coding	TADA1	40.88	40	23
ENSG00000152465	protein_coding	NMT2	43.09	240	185
ENSG00000152495	protein_coding	CAMK4	37.31	223	149
ENSG00000152556	protein_coding	PFKM	44.84	288	226
ENSG00000152578	protein_coding	GRIA4	35.32	206	160
ENSG00000152583	protein_coding	SPARCL1	39.78	874	428
ENSG00000152601	protein_coding	MBNL1	35.71	180	103
ENSG00000152700	protein_coding	SAR1B	43.44	541	353
ENSG00000152749	protein_coding	GPR180	36.55	49	44
ENSG00000152795	protein_coding	HNRNPDL	42.24	389	281
ENSG00000152818	protein_coding	UTRN	38	126	79
ENSG00000152822	protein_coding	GRM1	37.18	328	123
ENSG00000152932	protein_coding	RAB3C	37.99	1794	584
ENSG00000152954	protein_coding	NRSN1	40.22	4684	608
ENSG00000153012	protein_coding	LGI2	44.13	321	232
ENSG00000153037	protein_coding	SRP19	41.89	441	300
ENSG00000153048	protein_coding	CARHSP1	55.97	183	109
ENSG00000153130	protein_coding	SCOC	40.94	996	488
ENSG00000153140	protein_coding	CETN3	33.64	481	317
ENSG00000153187	protein_coding	HNRNPU	38.67	335	259
ENSG00000153207	protein_coding	AHCTF1	38.75	42	22
ENSG00000153214	protein_coding	TMEM87B	39.49	95	61
ENSG00000153310	protein_coding	FAM49B	42.04	346	263
ENSG00000153317	protein_coding	ASAP1	42.15	494	312
ENSG00000153443	protein_coding	UBALD1	64.7	321	254
ENSG00000153714	protein_coding	LURAP1L	36.72	318	216
ENSG00000153774	protein_coding	CFDP1	42.3	493	335
ENSG00000153815	protein_coding	CMIP	51.33	620	374
ENSG00000153820	protein_coding	SPHKAP	38.19	118	95
ENSG00000153823	protein_coding	PID1	38.63	362	247
ENSG00000153827	protein_coding	TRIP12	38.19	183	154
ENSG00000153904	protein_coding	DDAH1	39.19	46	39
ENSG00000153944	protein_coding	MSI2	47.5	197	172
ENSG00000153956	protein_coding	CACNA2D1	34.98	411	244
ENSG00000153989	protein_coding	NUS1	37.38	195	163
ENSG00000154001	protein_coding	PPP2R5E	40.18	144	129
ENSG00000154059	protein_coding	IMPACT	38.32	834	406
ENSG00000154079	protein_coding	SDHAF4	40.87	460	320
ENSG00000154096	protein_coding	THY1	55.78	2355	611
ENSG00000154118	protein_coding	JPH3	56.65	245	190
ENSG00000154122	protein_coding	ANKH	43.86	301	237
ENSG00000154127	protein_coding	UBASH3B	45.84	320	230
ENSG00000154174	protein_coding	TOMM70	38.43	173	151
ENSG00000154229	protein_coding	PRKCA	43.87	576	344
ENSG00000154277	protein_coding	UCHL1	44.57	1258	481
ENSG00000154305	protein_coding	MIA3	39.14	247	211
ENSG00000154310	protein_coding	TNIK	39.52	277	206
ENSG00000154380	protein_coding	ENAH	38.55	268	213
ENSG00000154429	protein_coding	CCSAP	43.58	131	98
ENSG00000154518	protein_coding	ATP5MC3	40.96	1248	495
ENSG00000154723	protein_coding	ATP5PF	41.96	4290	784
ENSG00000154781	protein_coding	CCDC174	42.28	253	205
ENSG00000154813	protein_coding	DPH3	40.33	254	207
ENSG00000154917	protein_coding	RAB6B	49.61	1493	555
ENSG00000154928	protein_coding	EPHB1	44.84	123	82
ENSG00000154945	protein_coding	ANKRD40	44.45	248	209
ENSG00000154975	protein_coding	CA10	39.84	107	66
ENSG00000155052	protein_coding	CNTNAP5	38.93	117	83
ENSG00000155096	protein_coding	AZIN1	40.81	272	190
ENSG00000155097	protein_coding	ATP6V1C1	38.39	787	439
ENSG00000155100	protein_coding	OTUD6B	34.94	89	78
ENSG00000155265	protein_coding	GOLGA7B	49.35	179	130
ENSG00000155368	protein_coding	DBI	50.37	800	325
ENSG00000155506	protein_coding	LARP1	46.53	282	218
ENSG00000155511	protein_coding	GRIA1	41.18	1142	369
ENSG00000155621	protein_coding	C9orf85	38.63	221	186
ENSG00000155744	protein_coding	FAM126B	39.16	396	268
ENSG00000155755	protein_coding	TMEM237	38.83	210	173
ENSG00000155849	protein_coding	ELMO1	41.67	537	317
ENSG00000155876	protein_coding	RRAGA	51.09	311	239
ENSG00000155886	protein_coding	SLC24A2	39.68	866	371
ENSG00000155957	protein_coding	TMBIM4	38.11	210	160
ENSG00000155959	protein_coding	VBP1	40.41	399	291
ENSG00000155961	protein_coding	RAB39B	40.8	209	154
ENSG00000155970	protein_coding	MICU3	35.97	241	195
ENSG00000155974	protein_coding	GRIP1	38.59	265	209
ENSG00000155980	protein_coding	KIF5A	47.65	748	403
ENSG00000156011	protein_coding	PSD3	39.94	162	134
ENSG00000156052	protein_coding	GNAQ	39.18	426	296
ENSG00000156113	protein_coding	KCNMA1	43.94	77	52
ENSG00000156261	protein_coding	CCT8	38.32	420	284
ENSG00000156298	protein_coding	TSPAN7	39.6	3229	713
ENSG00000156384	protein_coding	SFR1	37.96	574	374
ENSG00000156411	protein_coding	ATP5MPL	47.77	671	378
ENSG00000156467	protein_coding	UQCRB	38.18	527	327
ENSG00000156471	protein_coding	PTDSS1	43.65	147	122
ENSG00000156475	protein_coding	PPP2R2B	39.61	488	253
ENSG00000156482	protein_coding	RPL30	42.56	1383	569
ENSG00000156508	protein_coding	EEF1A1	47.14	4598	809
ENSG00000156515	protein_coding	HK1	47.64	317	237
ENSG00000156603	protein_coding	MED19	45.7	236	184
ENSG00000156687	protein_coding	UNC5D	38.57	248	175
ENSG00000156885	protein_coding	COX6A2	72.38	343	150
ENSG00000156959	protein_coding	LHFPL4	46.69	317	234
ENSG00000156973	protein_coding	PDE6D	42.51	615	381
ENSG00000156976	protein_coding	EIF4A2	41.92	3784	625
ENSG00000157005	protein_coding	SST	48.48	18946	242
ENSG00000157045	protein_coding	NTAN1	47.6	767	436
ENSG00000157064	protein_coding	NMNAT2	44.39	559	347
ENSG00000157087	protein_coding	ATP2B2	49.6	763	403
ENSG00000157103	protein_coding	SLC6A1	50.3	3908	698
ENSG00000157106	protein_coding	SMG1	39.95	64	57
ENSG00000157152	protein_coding	SYN2	40.98	1562	562
ENSG00000157181	protein_coding	ODR4	35.17	117	91
ENSG00000157191	protein_coding	NECAP2	49.37	54	38
ENSG00000157193	protein_coding	LRP8	51.87	256	181
ENSG00000157216	protein_coding	SSBP3	50.93	216	169
ENSG00000157259	protein_coding	GATAD1	41.76	146	126
ENSG00000157379	protein_coding	DHRS1	47.91	174	148
ENSG00000157404	protein_coding	KIT	40.87	1266	449
ENSG00000157445	protein_coding	CACNA2D3	42.18	139	86
ENSG00000157470	protein_coding	FAM81A	42.37	210	168
ENSG00000157514	protein_coding	TSC22D3	48.75	440	302
ENSG00000157741	protein_coding	UBN2	39.02	212	177
ENSG00000157837	protein_coding	SPPL3	40.88	229	188
ENSG00000157869	protein_coding	RAB28	36.22	489	330
ENSG00000157895	protein_coding	C12orf43	49.65	1045	504
ENSG00000157916	protein_coding	RER1	53.96	424	308
ENSG00000157933	protein_coding	SKI	57.61	236	196
ENSG00000157954	protein_coding	WIPI2	48.21	319	244
ENSG00000157985	protein_coding	AGAP1	47.33	296	227
ENSG00000158042	protein_coding	MRPL17	47.5	515	322
ENSG00000158109	protein_coding	TPRG1L	52.16	538	349
ENSG00000158234	protein_coding	FAIM	40.46	420	279
ENSG00000158321	protein_coding	AUTS2	41.07	367	263
ENSG00000158373	protein_coding	HIST1H2BD	42.24	739	427
ENSG00000158417	protein_coding	EIF5B	38.47	747	434
ENSG00000158445	protein_coding	KCNB1	47.83	412	277
ENSG00000158467	protein_coding	AHCYL2	39.97	283	214
ENSG00000158526	protein_coding	TSR2	49	202	169
ENSG00000158528	protein_coding	PPP1R9A	36.45	283	218
ENSG00000158560	protein_coding	DYNC1I1	38.59	184	134
ENSG00000158604	protein_coding	TMED4	48.93	463	342
ENSG00000158636	protein_coding	EMSY	37.68	298	224
ENSG00000158669	protein_coding	GPAT4	45.7	237	199
ENSG00000158828	protein_coding	PINK1	50.78	698	400
ENSG00000158856	protein_coding	DMTN	54.92	383	270
ENSG00000158859	protein_coding	ADAMTS4	51.47	125	70
ENSG00000158864	protein_coding	NDUFS2	49.73	751	458
ENSG00000158869	protein_coding	FCER1G	49.29	292	71
